day,hour,count
3,23,3649
3,12,3228
3,20,6054
3,13,3950
3,2,1852
3,21,4097
3,7,579
3,0,2405
3,22,3437
3,10,603
3,19,5987
3,17,5047
3,9,448
3,11,1379
3,1,2196
3,5,630
3,14,4330
3,18,5878
3,6,323
3,8,256
3,4,790
3,15,5103
3,16,5288
3,3,1582
0,22,2933
0,15,3752
0,9,513
0,12,1218
0,16,2947
0,8,250
0,1,1737
0,2,1423
0,23,3010
0,7,322
0,21,3327
0,19,3004
0,11,656
0,4,1419
0,5,850
0,20,2790
0,17,3105
0,13,2306
0,10,223
0,14,2281
0,0,2357
0,18,3154
0,3,1672
0,6,372
4,0,3069
4,12,2242
4,6,579
4,21,5125
4,10,982
4,13,3827
4,2,2620
4,19,5842
4,9,290
4,17,5738
4,18,5882
4,5,708
4,15,4321
4,1,2814
4,16,4347
4,11,1301
4,14,4363
4,7,575
4,23,5503
4,22,5504
4,3,1914
4,8,220
4,4,1850
4,20,5089
2,16,5774
2,18,6330
2,3,1612
2,22,4661
2,13,3531
2,23,3152
2,9,470
2,15,4659
2,4,979
2,6,303
2,21,4476
2,19,6695
2,0,2717
2,2,1949
2,1,2842
2,7,289
2,10,709
2,8,309
2,20,6001
2,12,2112
2,11,1169
2,14,4180
2,5,943
2,17,5070
5,2,2955
5,5,2054
5,12,3164
5,17,6018
5,16,5474
5,19,5894
5,6,1303
5,10,1383
5,22,3934
5,18,6489
5,20,5579
5,23,3620
5,0,4342
5,8,1100
5,1,3670
5,9,1151
5,14,5701
5,21,4431
5,15,6611
5,3,2213
5,7,1135
5,4,1794
5,13,4539
5,11,2269
1,8,374
1,2,2038
1,16,5443
1,3,1314
1,12,2619
1,23,3128
1,20,5735
1,22,3670
1,5,1079
1,19,6421
1,0,3689
1,11,1156
1,10,610
1,18,6772
1,6,562
1,1,3087
1,21,4527
1,4,1102
1,17,5667
1,14,4574
1,7,417
1,13,4147
1,9,382
1,15,4832
6,3,2441
6,18,3732
6,13,1361
6,1,2962
6,15,2138
6,22,3159
6,9,1172
6,4,1934
6,12,1064
6,6,1175
6,0,3252
6,10,1181
6,7,1224
6,16,3414
6,17,3262
6,23,1837
6,2,2331
6,11,1345
6,14,2342
6,19,3046
6,5,1427
6,20,2870
6,21,3084
6,8,1157
